case_id,kind,category,should_abstain_expected,existing_faithfulness,existing_answer_correctness,reviewer_faithfulness,reviewer_answer_correctness,reviewer_notes
A1,answer,direct_lookup,false,0.9,0.9,,,
A2,answer,multi_chunk_synthesis,false,0.85,0.8,,,
A3,answer,abstention,true,1.0,1.0,,,
S1,summary,summary_grounded,false,0.88,0.84,,,
A4,answer,direct_lookup,false,0.87,0.82,,,
A5,answer,citation_sensitivity,false,0.92,0.9,,,
A6,answer,abstention,true,1.0,1.0,,,
A7,answer,multi_chunk_synthesis,false,0.83,0.8,,,
A8,answer,direct_lookup,false,0.86,0.81,,,
A9,answer,citation_sensitivity,false,0.91,0.89,,,
A10,answer,abstention,true,1.0,1.0,,,
A11,answer,multi_chunk_synthesis,false,0.84,0.8,,,
A12,answer,citation_sensitivity,false,0.9,0.88,,,
A13,answer,direct_lookup,false,0.86,0.82,,,
A14,answer,abstention,true,1.0,1.0,,,
A15,answer,multi_chunk_synthesis,false,0.82,0.78,,,
A16,answer,citation_sensitivity,false,0.9,0.86,,,
A17,answer,direct_lookup,false,0.9,0.9,,,
A18,answer,abstention,true,1.0,1.0,,,
S2,summary,summary_grounded,false,0.86,0.82,,,
S3,summary,summary_grounded,false,0.88,0.84,,,
S4,summary,summary_grounded,false,0.82,0.78,,,
S5,summary,summary_grounded,false,0.89,0.84,,,
S6,summary,citation_sensitivity,false,0.9,0.86,,,
